"filename", "language", "SCSS", "JSON", "Markdown", "TypeScript", "YAML", "TypeScript React", "XML", "comment", "blank", "total"
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.eslintrc.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.github\workflows\npm-publish.yml", "YAML", 0, 0, 0, 0, 68, 0, 0, 0, 14, 82
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.github\workflows\storybook.yml", "YAML", 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.github\workflows\version-bump.yml", "YAML", 0, 0, 0, 0, 38, 0, 0, 0, 9, 47
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.prettierrc.json", "JSON", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.storybook\main.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.storybook\preview.tsx", "TypeScript React", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\.stylelintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\README.md", "Markdown", 0, 0, 18, 0, 0, 0, 0, 0, 13, 31
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\package-lock.json", "JSON", 0, 20360, 0, 0, 0, 0, 0, 0, 1, 20361
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\package.json", "JSON", 0, 117, 0, 0, 0, 0, 0, 0, 1, 118
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\assets\svgs\LogoText\LogoText.tsx", "TypeScript React", 0, 0, 0, 0, 0, 74, 0, 0, 3, 77
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\assets\svgs\LogoText\logoText.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\assets\svgs\Logo\Logo.tsx", "TypeScript React", 0, 0, 0, 0, 0, 30, 0, 0, 3, 33
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\assets\svgs\Logo\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\assets\svgs\svgs.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\componentTemplate\DummyComp.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\componentTemplate\DummyComp.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 8, 0, 4, 4, 16
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\componentTemplate\DummyComp.tsx", "TypeScript React", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\componentTemplate\DummyComp.types.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Alert\Alert.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Alert\Alert.tsx", "TypeScript React", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\AppPreloader\AppPreloader.module.scss", "SCSS", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\AppPreloader\AppPreloader.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\AppPreloader\AppPreloader.tsx", "TypeScript React", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Avatar\Avatar.module.scss", "SCSS", 47, 0, 0, 0, 0, 0, 0, 0, 10, 57
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Avatar\Avatar.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Avatar\Avatar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Avatar\Avatar.types.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 19, 2, 31
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\BreadCrumbs\BreadCrumbs.module.scss", "SCSS", 49, 0, 0, 0, 0, 0, 0, 1, 11, 61
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\BreadCrumbs\BreadCrumbs.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\BreadCrumbs\BreadCrumbs.tsx", "TypeScript React", 0, 0, 0, 0, 0, 61, 0, 0, 3, 64
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Button\Button.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Button\Button.tsx", "TypeScript React", 0, 0, 0, 0, 0, 49, 0, 2, 3, 54
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Button\Button.types.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 12, 2, 37
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Card\Card.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Card\Card.tsx", "TypeScript React", 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Card\Card.types.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.module.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.tsx", "TypeScript React", 0, 0, 0, 0, 0, 26, 0, 1, 3, 30
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Chip\Chip.types.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 6, 2, 18
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Dialog\Dialog.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProjectFiles\Big_Projects\SellerSpot\universal-components\src\components\Dialog\Dialog.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
